,id_uni,name_uni,city,plz,county,address,traeger,nr_students,found_year,long,lat,ap_auf,ap_ing,ap_num,ap_mug,ap_gus,ap_ruw,ap_sloth,ap_suk,ap_kgm,ap_lsg,studies
10,a-259,Hochschule für Kirchenmusik der Evangelisch-Lutherischen Landeskirche Sachsens,Dresden,01309,Sachsen,Käthe-Kollwitz-Ufer 97,kirchlich,40,1949,51.05747760000, 13.79924940000,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","['Kirchenmusik B, Diplom']"
11,a-82,Evangelische Hochschule Moritzburg (EHM),Moritzburg,01468,Sachsen,Bahnhofstraße 9,kirchlich,80,1925,51.15710000000, 13.68771000000,"0,0%","0,0%","0,0%","0,0%","60,0%","20,0%","0,0%","0,0%","20,0%","0,0%","['Didaktik und Management religiöser Bildung in Schule und Kirche, Master of Education', 'Evangelische Religionspädagogik mit musikalischem Profil, Bachelor of Education', 'Evangelische Religionspädagogik und Soziale Arbeit, Bachelor of Education']"
12,a-48,Berufsakademie Sachsen – Staatliche Studienakademie Riesa (University of Cooperative Education),Riesa,01591,Sachsen,Am Kutzschenstein 6,staatlich,447,1992,51.31553450000, 13.28818720000,"0,0%","40,0%","20,0%","0,0%","0,0%","40,0%","0,0%","0,0%","0,0%","0,0%","[', Bachelor of Arts', 'BWL-Dienstleistungsmanagement (dual), Bachelor of Engineering', 'Energie- und Umwelttechnik (dual), Bachelor of Science', ', Bachelor of Engineering']"
13,a-111,Hochschule Meißen (FH) und Fortbildungszentrum,Meißen,01662,Sachsen,Herbert-Böhme Straße 11,staatlich,562,1992,51.15857260000, 13.48864140000,"0,0%","0,0%","0,0%","0,0%","14,3%","28,6%","57,1%","0,0%","0,0%","0,0%","['Allgemeine Verwaltung, Bachelor', 'Public Governance, Master of Science', 'Rechtspflege, Diplom', 'Sozialverwaltung und Sozialversicherung, Bachelor', 'Steuer- und Staatsfinanzverwaltung, Diplom']"
14,a-177,BTU Brandenburgische Technische Universität Cottbus-Senftenberg,Senftenberg,01968,Brandenburg,Großenhainer Straße 57,staatlich,9559,1991,51.52170130000, 13.98691340000,"0,0%","42,3%","23,1%","30,8%","3,8%","0,0%","0,0%","0,0%","0,0%","0,0%","['Berufspädagogik für Gesundheitsberufe, Master of Arts', 'Biotechnologie, Bachelor of Science', 'Biotechnology, Master of Science', 'Elektrotechnik, Bachelor of Engineering, Master of Engineering', 'Elektrotechnik (dual), Bachelor of Engineering', 'Environmental and Resource Management, Doctor of Philosophy', 'Hebammenwissenschaft, Bachelor of Science', 'Maschinenbau, Master of Engineering', 'Maschinenbau (dual), Bachelor of Engineering', 'Materialchemie, Bachelor of Science, Master of Science', 'Medizininformatik, Bachelor of Science', 'Pflegewissenschaften, Bachelor of Science', 'Pflegewissenschaften (dual), Bachelor of Science', 'Therapiewissenschaften, Bachelor of Science', 'Therapiewissenschaften (dual), Bachelor of Science', 'Wirtschaftsingenieurwesen, Bachelor of Engineering, Master of Engineering', 'Wirtschaftsingenieurwesen (dual), Bachelor of Engineering']"
15,a-43,Berufsakademie Sachsen – Staatliche Studienakademie Bautzen (University of Cooperative Education),Bautzen,02625,Sachsen,Löbauer Straße 1,staatlich,500,1991,51.18186200000, 14.43574780000,"0,0%","50,0%","0,0%","0,0%","0,0%","50,0%","0,0%","0,0%","0,0%","0,0%","['Betriebliches Ressourcenmanagement (dual), Bachelor of Arts', 'Elektrotechnik (dual), Bachelor of Engineering', 'Medizintechnik (dual), Bachelor of Engineering', 'Public Management (dual), Bachelor of Arts', 'Wirtschaftsinformatik (dual), Bachelor of Science', 'Wirtschaftsingenieurwesen (dual), Bachelor of Engineering']"
16,a-306,Hochschule Zittau/Görlitz (University Of Applied Sciences),Zittau,02763,Sachsen,Theodor-Körner-Allee 16,staatlich,3200,1992,50.89341440000, 14.80640460000,"0,0%","59,5%","21,6%","0,0%","2,7%","16,2%","0,0%","0,0%","0,0%","0,0%","[', Bachelor of Science', 'Betriebswirtschaft, Bachelor of Science', 'Integrierte Managementsysteme / Integriertes Management (Qualität, Umwelt, Energie, Arbeitsschutz), Bachelor of Engineering, Diplom', ', Bachelor of Engineering, Diplom', ', Bachelor of Arts', ', Master of Science', ', Bachelor of Engineering, Diplom', ', Bachelor of Engineering, Diplom', ', Bachelor of Engineering, Diplom, Master of Engineering', 'Angewandte Naturwissenschaften, Bachelor of Engineering, Diplom', 'Angewandte Naturwissenschaften (dual), Master of Science', 'Automatisierung und Mechatronik, Master of Science', 'Automatisierung und Mechatronik (kooperativ), Master of Arts', 'Betriebswirtschaft, Bachelor of Engineering, Diplom, Master of Engineering', 'Biotechnologie & angewandte Ökologie, Bachelor of Engineering, Diplom', 'Elektrische Energiesysteme, Master of Engineering', 'Elektrische Energiesysteme (kooperativ), Bachelor of Science', 'Energie- und Umwelttechnik, Bachelor of Science', 'Energie- und Umwelttechnik (kooperativ), Master of Science', 'Integrierte Managementsysteme / Integriertes Management (Qualität, Umwelt, Energie, Arbeitsschutz), Bachelor of Arts', 'Internationales Management, Diplom', 'Management Sozialen Wandels, Diplom']"
17,a-317,Internationales Hochschulinstitut (IHI) Zittau,Zittau,02763,Sachsen,Markt 23,staatlich,241,1993,50.89594000000, 14.80546000000,"0,0%","16,7%","33,3%","0,0%","0,0%","50,0%","0,0%","0,0%","0,0%","0,0%","['Biodiversität und Sammlungsmanagement, Master of Science', 'Biotechnologie und Angewandte Ökologie, Master of Science', 'Business Ethics und CSR-Management, Master of Arts', 'Internationales Management, Master of Arts', 'Projektmanagement, Master of Arts']"
18,a-10338,Hochschule Zittau/Görlitz (University Of Applied Sciences),Görlitz,02826,Sachsen,Brückenstraße 1,staatlich,3200,1992,51.14910000000, 14.99763000000,"0,0%","0,0%","10,0%","10,0%","40,0%","25,0%","0,0%","15,0%","0,0%","0,0%","['Internationale Wirtschaftskommunikation, Master of Arts', 'Internationale Wirtschaftskommunikation, Bachelor of Arts', 'Fachübersetzen Wirtschaft Deutsch/Polnisch, Bachelor of Science, Master of Science', 'Heilpädagogik / Inclusion Studies, Bachelor of Arts', 'Informatik, Master of Arts', 'Internationale Wirtschaftskommunikation, Bachelor of Arts', 'Internationales Tourismusmanagement, Bachelor of Arts', 'Kindheitspädagogik, Bachelor of Arts, Master of Arts', 'Kommunikationspsychologie, Bachelor of Arts, Master of Arts', 'Kultur und Management, Master of Arts', 'Management im Gesundheitswesen, Bachelor of Arts', 'Management Sozialen Wandels, Master of Arts', 'Soziale Arbeit, Bachelor of Arts', 'Soziale Gerontologie (berufsbegleitend), Bachelor of Science']"
19,a-152,Hochschule der Sächsischen Polizei (FH),Rothenburg,02929,Sachsen,Friedensstraße 134,staatlich,353,1994,51.36320200000, 14.96109390000,"0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","['Polizei der Länder, Diplom']"
