,id_uni,name_uni,city,plz,county,address,traeger,nr_students,found_year,long,lat,ap_auf,ap_ing,ap_num,ap_mug,ap_gus,ap_ruw,ap_sloth,ap_suk,ap_kgm,ap_lsg,studies
172,a-446,Universität zu Lübeck,Lübeck,23562,Schleswig-Holstein,Ratzeburger Allee 160,staatlich,3300,1964,53.83427540000, 10.70364800000,"0,0%","17,1%","51,2%","19,5%","4,9%","2,4%","0,0%","4,9%","0,0%","0,0%","[', Master of Engineering', 'Biomedical Engineering, Bachelor of Science, Master of Science', 'Biophysik, Master of Science', 'Entrepreneurship in digitalen Technologien, Bachelor of Science', ', Master of Science', ', Bachelor of Science', ', Master of Science', ', Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science', ', Staatsexamen', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science', ', Bachelor of Science', ', Bachelor of Science, Master of Science', ', Bachelor of Science, Master of Science']"
173,a-469,"Duale Hochschule Schleswig-Holstein (DHSH), Studienort Lübeck",Lübeck,23566,Schleswig-Holstein,Guerickestraße 6-8,privat,NaN,NaN,53.85310240000, 10.74189540000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Betriebswirtschaft (dual), Bachelor of Arts', 'Wirtschafsinformatik (dual), Bachelor of Arts']"
174,a-305,Hochschule Wismar,Wismar,23966,Mecklenburg-Vorpommern,Philipp-Müller-Straße 14,staatlich,7979,1908,53.89141640000, 11.44517010000,"1,1%","32,2%","6,9%","4,6%","4,6%","40,2%","0,0%","1,1%","9,2%","0,0%","['Schiffsbetriebstechnik, Anlagentechnik und Versorgungstechnik, Bachelor of Arts', 'Accounting and Controlling, Master of Science', 'Angewandte Informatik, Bachelor of Science', 'Angewandte Informatik – Multimediatechnik, Master of Arts', 'Architectural Lighting Design, Bachelor of Arts, Master of Arts', 'Architektur, Master of Science', 'Architektur und Umwelt, Bachelor of Engineering, Master of Engineering', 'Bauingenieurwesen, Bachelor of Engineering', 'Bauingenieurwesen (dual), Master of Science', 'Bautenschutz, Bachelor of Arts', 'Berufsbetreuer, Bachelor of Arts, Master of Arts', 'Betriebswirtschaft, Diplom', 'Betriebswirtschaft - Diplom-Kaufmann FH, Bachelor of Arts', 'Betriebswirtschaft (online), Master of Business Administration', 'Business Consulting, Master', 'Business Systems, Diplom', 'Design, Bachelor of Arts', 'Design - Produkt und Schmuck, Master of Science', 'Digitale Logistik und Management, Master of Science', 'Facility Management, Master of Business Administration', 'Gesundheitsmanagement, Bachelor of Engineering, Master of Engineering', 'Informations- und Elektrotechnik, Bachelor of Engineering', 'Informations- und Elektrotechnik (dual), Bachelor of Arts, Master of Arts', 'Innenarchitektur, Master of Science', 'Integrative StadtLand-Entwicklung, Master of Business Administration', 'International Logistics and Trade, Master of Science', 'International Management, Master of Engineering', 'IT Sicherheit und Forensik, Bachelor of Engineering', 'IT-Forensik, Diplom', 'Kommunikationsdesign und Medien, Master of Arts', 'Lighting Design, Bachelor of Arts', 'Management sozialer Dienstleistungen (online), Bachelor of Arts', 'Management von Gesundheitseinrichtungen (online), Bachelor of Engineering', 'Marine Engineering, Master of Science', 'Marine Engineering, deutsch-indonesisch, Bachelor of Science', 'Maritime Logistics and Port Management (online), Bachelor of Arts', 'Marketing, Bachelor of Engineering', 'Maschinenbau, Bachelor of Engineering', 'Maschinenbau (dual), Master of Engineering', 'Maschinenbau/Verfahrens- und Energietechnik, Master of Arts', 'Material Culture Design, Bachelor of Engineering, Master of Engineering', 'Mechatronik, Bachelor of Engineering', 'Mechatronik (dual), Bachelor of Science', 'Nautical Sciences / Transport Operations, Bachelor of Science', 'Nautik / Verkehrsbetrieb, Master of Science', 'Operation and Management of Maritime Systems, Bachelor of Arts', 'Personalmanagement, Bachelor of Arts', 'Projekt- und Prozessmanagement, Master of Engineering', 'Quality Management, Bachelor of Laws', 'Rechtswissenschaft für Notarfachwirte, Bachelor of Laws', 'Rechtswissenschaft für Rechtsfachwirte, Bachelor of Science', 'Schiffsbetriebstechnik, Anlagentechnik und Versorgungstechnik, Bachelor of Science', 'Schiffselektrotechnik, Bachelor of Arts, Master of Arts', 'Sportmanagement, Master', 'Tax and Business Consulting, Bachelor of Engineering', 'Verfahrenstechnik – Energie-, Umwelt- und Biotechnologie, Master of Arts', 'Vertrieb und Marketing/Sales and Marketing, Bachelor of Science, Master of Science', 'Wirtschaftsinformatik, Bachelor of Science', 'Wirtschaftsinformatik (dual), Bachelor of Arts, Master of Arts', 'Wirtschaftsinformatik (Fernstudiengang), Master of Engineering', 'Wirtschaftsingenieurwesen: Information Technology and Management (Fernstudiengang), Bachelor of Engineering', 'Wirtschaftsingenieurwesen: Informations- und Automatisierungstechnik (Fernstudiengang), Bachelor of Science', 'Wirtschaftspsychologie, Bachelor of Laws, Master of Laws', 'Wirtschaftsrecht, Master of Laws', 'Wirtschaftsrecht (deutsch, international), Bachelor', 'Wirtschaftsrecht (online), Master of Laws']"
175,a-357,Muthesius Kunsthochschule Kiel,Kiel,24103,Schleswig-Holstein,Legienstraße 35,staatlich,640,1994,54.32779970000, 10.12907160000,"0,0%","7,7%","0,0%","0,0%","0,0%","0,0%","0,0%","0,0%","76,9%","15,4%","['Freie Kunst, Bachelor of Fine Arts, Master of Fine Arts', 'Freie Kunst (Lehramt), Master of Fine Arts', 'Industriedesign, Bachelor of Arts', 'Industriedesign/ Interface Design, Master of Arts', 'Industriedesign/ Medical Design, Master of Arts', 'Kommunikationsdesign, Bachelor of Arts, Master of Arts', 'Kunst (Lehramt an Gymnasien), Bachelor of Education', 'Raumstrategien, Master of Arts', 'Szenografie/ Interior Design, Bachelor of Arts']"
176,a-468,"Duale Hochschule Schleswig-Holstein (DHSH), Studienort Kiel",Kiel,24106,Schleswig-Holstein,Hans-Detlev-Prien-Straße 10,privat,NaN,NaN,54.36085620000, 10.12575260000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Betriebswirtschaft (dual), Bachelor of Arts', 'Digital Business & Innovation (berufsbegleitend), Master of Arts', 'Wirtschaftsinformatik (dual), Bachelor of Science']"
177,a-62,Christian-Albrechts-Universität zu Kiel,Kiel,24118,Schleswig-Holstein,Christian-Albrechts-Platz 4,staatlich,24396,1665,54.33882640000, 10.12243520000,"1,4%","6,1%","16,0%","3,8%","9,9%","7,5%","0,0%","28,2%","1,9%","25,4%","[', Bachelor of Science, Master of Science', 'Interkulturelle Studien: Russland und Deutschland transregional, Master of Science', 'Klassische Archäologie 1-Fach-MA, Master of Science', 'Interkulturelle Studien: Russland und Deutschland transregional, Bachelor of Arts', ', Bachelor of Arts, Master of Arts', 'Agrarwissenschaften, Bachelor of Arts', 'AgriGenomics, Master of Science', 'Angewandte Geowissenschaften - Georessourcen, Geoenergien, Geotechnologien, Master of Arts', 'Anglistik (Lehramt), Bachelor of Science, Master of Science', 'Anglistik / Nordamerikanistik, Bachelor of Science, Master of Science', 'Anglistik / Nordamerikanistik (Lehramt), Master of Science', 'Arzneimittelforschung, Bachelor of Science, Master of Science', 'Berufsbegleitende Lehrerbildung (Mathematik), Bachelor of Arts, Master of Education', 'Betriebswirtschaftslehre, Bachelor of Science, Master of Science', 'Biochemie und Molekularbiologie, Bachelor of Arts, Master of Education', 'Biological Oceanography, Master of Science', 'Biologie, Master of Science', 'Biologie (Lehramt), Bachelor of Arts, Master of Arts', 'Chemie, Bachelor of Arts, Master of Arts', 'Chemie (Lehramt), Bachelor of Arts, Master of Education', 'Climate Physics: Meteorology and Physical Oceanography, Master of Arts', 'Dairy Science, Master of Science', 'Dänisch (Lehramt), Master of Science', 'Deutsch, Bachelor of Science, Master of Science', 'Deutsch (Lehramt), Bachelor of Arts', 'Die islamische Welt in der Moderne, Master of Education', 'Economics, Master of Arts', 'Electric Vehicle Propulsion and Control (E-PiCo), Master of Science', 'Elektro- und Informationstechnik, Master of Science', 'Empirische Sprachwissenschaft, Master of Science', 'Englisch (Lehramt), Master of Science', 'English and American Literatures, Cultures and Media, Bachelor of Arts, Master of Arts', 'Environmental and Resource Economics, Bachelor of Arts, Master of Education', 'Environmental Management, Diplom', 'Ernährungs- und Lebensmittelwissenschaften, Master of Science', 'Ernährungs- und Verbraucherökonomie, Master of Arts, Master of Education', 'Europäische Ethnologie / Volkskunde, Bachelor of Arts', 'Evangelische Religionslehre (Lehramt), Bachelor of Arts', 'Evangelische Theologie, Bachelor of Arts, Master of Arts', 'Finanzmathematik, Bachelor of Science', 'Französisch (Lehramt), Bachelor of Arts, Master of Education', 'Französische Philologie, Master of Science', 'Französische Philologie (Lehramt), Bachelor of Science, Master of Science', 'Frisistik, Bachelor of Arts, Master of Arts', 'Geographie, Bachelor of Arts, Master of Education', 'Geographie (Lehramt), Bachelor of Arts, Master of Arts', 'Geophysik, Bachelor of Arts, Master of Education', 'Geowissenschaften, Master of Arts', 'Geschichte, Bachelor of Arts, Bachelor of Science, Master of Science', 'Geschichte (Lehramt), Bachelor of Arts, Master, Master of Education', 'Griechische Philologie, Master of Arts', 'Griechische Philologie (Lehramt), Master of Arts', 'Hospital Management, Master of Arts', 'Informatik, Master of Arts', 'Informatik (Lehramt), Bachelor of Arts, Master of Arts', 'Interkulturelle Studien: Polen und Deutsche in Europa, Master of Arts, Master of Education', 'Interkulturelle Studien: Russland und Deutschland transregional, Bachelor of Arts', 'International vergleichende Soziologie, Bachelor of Arts', 'Internationale Politik und Internationales Recht, Bachelor of Arts, Master of Arts', 'Islamwissenschaft, Bachelor of Arts, Master of Education', 'Italienisch (Lehramt), Bachelor of Arts, Master of Arts', 'Italienische Philologie, Bachelor of Arts, Master of Arts', 'Italienische Philologie (Lehramt), Bachelor of Arts', 'Klassische Archäologie, Bachelor of Arts, Master of Education, Staatsexamen', 'Kunst (Lehramt), Master of Science', 'Kunstgeschichte, Master of Science', 'Latein (Lehramt), Master of Science', 'Lateinische Philologie, Bachelor of Science', 'Lateinische Philologie (Lehramt), Bachelor of Science, Master of Science', 'Marine Geosciences, Bachelor of Arts, Master of Education, Staatsexamen', 'Materials Science and Business Administration, Master of Science', 'Materials Science and Engineering, Master of Arts', 'Materialwissenschaft, Staatsexamen', 'Mathematik, Master', 'Mathematik (Lehramt), Master of Science', 'Medical Life Sciences, Master of Arts', 'Medienwissenschaft: Film und Fernsehen, Master of Science', 'Medizin, Bachelor of Arts, Master of Arts', 'Medizin im Krankenhausmanagement, Bachelor of Arts', 'Migraine and Headache Medicine, Bachelor of Science', 'Migration und Diversität, Bachelor of Arts, Master of Arts', 'Molecular Biology and Evolution, Master of Arts', 'Musikwissenschaft, Staatsexamen', 'Niederdeutsch (Lehramt), Bachelor of Arts, Master of Arts', 'Ökotrophologie, Bachelor of Arts, Master of Education, Staatsexamen', 'Pädagogik, Bachelor of Science, Master of Science', 'Pflegepädagogik, Bachelor of Arts, Master of Education', 'Pharmazie, Bachelor of Science', 'Philosophie, Bachelor of Arts, Master of Arts', 'Philosophie (Lehramt), Bachelor of Arts', 'Physik, Bachelor of Arts, Master, Master of Arts', 'Physik (Lehramt), Master of Arts', 'Physik des Erdsystems: Meteorologie - Ozeanographie - Geophysik, Bachelor of Science, Master of Science', 'Politikwissenschaft, Master of Science', 'Portugiesische Philologie, Master of Science', 'Prähistorische und Historische Archäologie, Staatsexamen', 'Praktische Philosophie der Wirtschaft und Umwelt, Master of Arts', 'Psychologie, Master of Arts', 'Quantitative Economics (De/Fr), Master of Education', 'Quantitative Finance, Staatsexamen', 'Rechtswissenschaft, Master of Arts', 'Religion und Ethik, Bachelor of Arts, Master of Arts', 'Romanische Philologie, Bachelor of Arts, Staatsexamen', 'Russisch, Bachelor of Arts', 'Russisch (Lehramt), Bachelor of Science', 'Schulmanagement und Qualitätsentwicklung, Bachelor of Arts', 'Skandinavistik, Master of Education, Staatsexamen', 'Slavische Philologie (Spezialisierungsvariante Russische Philologie), Bachelor of Arts', 'Slavische Philologie (Spezialisierungsvarianten Russische Philologie, Polnische Philologie und Tschechische Philologie), Bachelor of Arts, Staatsexamen', 'Sozio-Ökonomik, Bachelor of Arts, Master of Arts', 'Soziologie, Bachelor of Arts, Master of Education', 'Spanisch (Lehramt), Master of Arts', 'Spanische Philologie, Master of Science', 'Spanische Philologie (Lehramt), Master of Science', 'Sportwissenschaft, Master of Science', 'Sportwissenschaft (Lehramt), Master of Arts', 'Sprache und Variation, Bachelor of Science', 'Stadt- und Regionalentwicklung, Bachelor of Arts, Master of Education', 'Sustainability, Society and the Environment, Bachelor of Science, Master of Science', 'Umweltgeographie und - management, Bachelor of Science, Master of Science', 'Vergleichende Slavistik, Bachelor of Science, Master of Science', 'Volkswirtschaftslehre, Bachelor of Science', 'Wirtschaft / Politik (Lehramt), Bachelor of Arts', 'Wirtschaftschemie, Staatsexamen']"
178,a-173,Fachhochschule Kiel,Kiel,24149,Schleswig-Holstein,Sokratesplatz 1,staatlich,7500,1969,54.33261910000, 10.18041280000,"4,5%","29,5%","6,8%","4,5%","11,4%","25,0%","0,0%","15,9%","2,3%","0,0%","[', Master of Science', 'Offshore-Anlagentechnik, Master of Arts', 'Schiffbau und Maritime Technik, Bachelor of Engineering', 'Offshore-Anlagentechnik, Bachelor of Engineering', ', Bachelor of Arts', 'Agrarmanagement, Master of Arts', 'Angewandte Kommunikationswissenschaft, Bachelor of Arts, Master of Arts', 'Bauingenieurwesen, Master of Science', 'Bauingenieurwesen - industriebegleitet, Master of Arts', 'Betriebswirtschaftslehre, Master of Engineering', 'Betriebswirtschaftslehre für Nicht-Betriebswirte, Bachelor of Engineering', 'Betriebswirtschaftslehre Online, Bachelor of Arts', 'Data Science, Master of Science', 'Digital Business Management, Master of Arts', 'Elektrische Technologien, Master of Science', 'Elektrotechnik, Master of Science', 'Erziehung und Bildung im Kindesalter, Bachelor of Science', 'Financial Accounting, Controlling & Taxation, Bachelor of Engineering', 'Forschung, Entwicklung, Management in Sozialer Arbeit, Rehabilitation/Gesundheit oder Kindheitspädagogik, Master of Arts', 'Industrial Engineering, Bachelor of Science', 'Information Engineering, Bachelor of Engineering, Master of Engineering', 'Informationstechnologie, Bachelor of Engineering', 'Internationales Vertriebs- und Einkaufsingenieurwesen, Bachelor of Engineering', 'Journalismus und Medienwirtschaft, Master of Arts', 'Landwirtschaft, Bachelor of Arts', 'Maschinenbau, Bachelor of Arts', 'Mechatronik, Bachelor of Engineering', 'Medieningenieur/-in, Bachelor of Science', 'Medienkonzeption, Master of Arts', 'Multimedia Production, Bachelor of Engineering, Master of Engineering', 'Öffentlichkeitsarbeit und Unternehmenskommunikation, Bachelor of Arts', 'Offshore-Anlagentechnik, Bachelor of Arts', 'Physiotherapie, Bachelor of Science, Master of Science', 'Public Relations, Master of Science', 'Schiffbau und Maritime Technik, Bachelor of Engineering']"
179,a-158,FHVD - Fachhochschule für Verwaltung und Dienstleistung in Schleswig-Holstein,Altenholz,24161,Schleswig-Holstein,Rehmkamp 10,staatlich,800,NaN,54.40204260000, 10.13296750000,"0,0%","0,0%","0,0%","0,0%","66,7%","0,0%","33,3%","0,0%","0,0%","0,0%","['Allgemeine Verwaltung / Public Administration, Bachelor of Arts', 'Finanzverwaltung, Diplom', 'Management Soziale Sicherheit: Rentenversicherung, Bachelor of Arts']"
180,a-2471,"Berufsakademie für Bankwirtschaft, Studienort Rendsburg",Rendsburg,24768,Schleswig-Holstein,Raiffeisenstraße 1-3,staatlich,NaN,NaN,54.29060000000, 9.64556000000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Banking and Finance, Bachelor of Arts']"
181,a-467,"Duale Hochschule Schleswig-Holstein (DHSH), Studienort Flensburg",Flensburg,24937,Schleswig-Holstein,Heinrichstraße 16,privat,NaN,NaN,54.78222790000, 9.44246260000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Betriebswirtschaft (dual), Bachelor of Arts']"
182,a-435,Europa-Universität Flensburg,Flensburg,24943,Schleswig-Holstein,Auf dem Campus 1,staatlich,5162,1946,54.77674320000, 9.45702770000,"0,0%","6,0%","1,2%","0,0%","8,3%","3,6%","0,0%","10,7%","1,2%","69,0%","['Bildung in Europa, Master of Arts', 'Bildungswissenschaften, Bachelor of Arts', 'Biologie (Lehramt), Bachelor of Arts, Master of Education', 'Chemie (Lehramt), Bachelor of Arts, Master of Education', 'Dänisch (Lehramt), Bachelor of Arts, Master of Education', 'Darstellendes Spiel (Lehramt), Bachelor of Arts', 'Deutsch (Lehramt), Bachelor of Arts, Master of Education', 'Elektrotechnik (Lehramt), Master of Education', 'Energie- und Umweltmanagement, Master of Engineering', 'Englisch (Lehramt), Bachelor of Arts, Master of Education', 'Ernährung und Verbraucherbildung (Lehramt), Master of Education', 'Europa-Studien / European Studies, Master of Arts', 'European Cultures and Society, Bachelor of Arts', 'Evangelische Religion (Lehramt), Master of Education', 'Evangelische Theologie (Lehramt), Bachelor of Arts', 'Fahrzeugtechnik (Lehramt), Master of Education', 'Französisch (Lehramt), Bachelor of Arts, Master of Education', 'Geographie (Lehramt), Bachelor of Arts, Master of Education', 'Geschichte (Lehramt), Bachelor of Arts, Master of Education', 'Gesundheit und Ernährung (Lehramt), Bachelor of Arts', 'Informationstechnik (Lehramt), Master of Education', 'International Management, Bachelor of Arts', 'International Management Studies, Master of Arts', 'Katholische Religion (Lehramt), Master of Education', 'Katholische Theologie (Lehramt), Bachelor of Arts', 'Kita-Master - Leitung frühkindlicher Bildungseinrichtungen, Master of Arts', 'Kultur-Sprache-Medien, Master of Arts', 'Kunst (Lehramt), Master of Education', 'Kunst und visuelle Medien (Lehramt), Bachelor of Arts', 'Lehramt an beruflichen Schulen, Master of Education', 'Lehramt an Gemeinschaftsschulen, Bachelor of Arts, Master of Education', 'Lehramt an Grundschulen, Bachelor of Arts, Master of Education', 'Lehramt an Sonderschulen, Bachelor of Arts, Master of Education', 'Mathematik (Lehramt), Bachelor of Arts, Master of Education', 'Metalltechnik (Lehramt), Master of Education', 'Musik (Lehramt), Bachelor of Arts, Master of Education', 'Philosophie (Lehramt), Bachelor of Arts, Master of Education', 'Physik (Lehramt), Bachelor of Arts, Master of Education', 'Prävention und Gesundheitsförderung, Master of Arts', 'Sachunterricht (Lehramt), Master of Education', 'Sonderpädagogik (Lehramt), Bachelor of Arts, Master of Education', 'Spanisch (Lehramt), Bachelor of Arts, Master of Education', 'Sport (Lehramt), Bachelor of Arts, Master of Education', 'Technik (Lehramt), Bachelor of Arts, Master of Education', 'Textil und Mode (Lehramt), Bachelor of Arts', 'Textillehre (Lehramt), Master of Education', 'Transformationsstudien, Master of Arts', 'Wirtschaft / Politik (Lehramt), Bachelor of Arts, Master of Education']"
183,a-128,Hochschule Flensburg,Flensburg,24943,Schleswig-Holstein,Kanzleistraße 91-93,staatlich,4156,1886,54.77417000000, 9.44939000000,"0,0%","33,3%","25,0%","8,3%","0,0%","16,7%","0,0%","16,7%","0,0%","0,0%","[', Bachelor of Science, Master of Science', 'Veranstaltungshinweise, Master of Science', 'Applied Bio and Food Sciences, Master of Science', 'Biotechnologie, Lebensmitteltechnologie und Verfahrenstechnik, Bachelor of Arts', ', Bachelor of Science', ', Master of Arts', ', Master of Arts', ', Master of Arts', ', Bachelor of Engineering', ', Master of Arts', ', Bachelor of Arts, Master of Arts', ', Bachelor of Arts', ', Bachelor of Engineering', ', Bachelor of Science', ', Bachelor of Engineering', ', Bachelor of Science', ', Master of Engineering', ', Master of Science', ', Bachelor of Science']"
184,a-360,NORDAKADEMIE Hochschule der Wirtschaft,Elmshorn,25337,Schleswig-Holstein,Köllner Chaussee 11,privat,1500,1992,53.75365170000, 9.67197400000,"0,0%","14,3%","42,9%","0,0%","0,0%","42,9%","0,0%","0,0%","0,0%","0,0%","['Angewandte Informatik (dual), Bachelor of Science', 'Applied Data Science (berufsbegleitend), Master of Science', 'Betriebswirtschaftslehre (dual), Bachelor of Science', 'Technische Informatik/ IT-Engineering (dual), Bachelor of Science', 'Wirtschaftsinformatik (dual), Bachelor of Science', 'Wirtschaftsinformatik / IT-Management (berufsbegleitend), Master of Science', 'Wirtschaftsingenieurwesen (dual), Bachelor of Science']"
185,a-216,Fachhochschule Westküste,Heide,25746,Schleswig-Holstein,Fritz-Thiedemann-Ring 20,staatlich,1800,1994,54.19537000000, 9.12236000000,"0,0%","31,8%","4,5%","0,0%","13,6%","45,5%","0,0%","4,5%","0,0%","0,0%","[', Master of Science', 'Veranstaltungshinweise, Bachelor of Arts', 'Betriebswirtschaft, Bachelor of Arts', 'Green Energy, Bachelor of Science', ', Bachelor of Engineering', ', Master of Science', ', Bachelor of Arts', ', Bachelor of Arts, Master of Arts', ', Bachelor of Science', ', Master of Science', ', Master of Arts', ', Master of Science', ', Bachelor of Arts, Master of Science', ', Bachelor of Laws']"
186,a-26,Berufsakademie für IT und Wirtschaft Oldenburg,Oldenburg,26121,Niedersachsen,Industriestraße 6,privat,101,2003,53.14981940000, 8.20055490000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Betriebswirtschaft (dual), Bachelor of Arts', 'Wirtschaftsinformatik (dual), Bachelor of Science']"
187,a-194,"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Studienort Oldenburg",Oldenburg,26121,Niedersachsen,Ofener Straße 16-19,staatlich,6700,2009,53.14178000000, 8.20197000000,"0,0%","50,0%","15,4%","26,9%","0,0%","7,7%","0,0%","0,0%","0,0%","0,0%","[', Bachelor of Science', 'Angewandte Geodäsie, Bachelor of Science', 'Angewandte Pflegewissenschaft, Bachelor of Arts, Master of Arts', ', Bachelor of Engineering', ', Bachelor of Arts', ', Bachelor of Science', ', Bachelor of Engineering', ', Master of Engineering', ', Bachelor of Science', ', Master of Science', ', Bachelor of Science', ', Bachelor of Engineering, Master of Science', ', Bachelor of Science', ', Master of Engineering', ', Master of Science', ', Master of Science', ', Bachelor of Science', ', Bachelor of Engineering', ', Bachelor of Engineering']"
188,a-60,Carl von Ossietzky Universität Oldenburg,Oldenburg,26129,Niedersachsen,"Ammerländer Heerstraße 114-118, Campus Haarentor",staatlich,12269,1973,53.14673330000, 8.18312400000,"0,0%","9,6%","15,6%","2,2%","14,1%","11,9%","0,0%","20,0%","2,2%","24,4%","[', Bachelor of Arts', 'Bildungsmanagement und Wissenschaftsmanagement (berufsbegleitend), Bachelor of Arts', 'Business Administration in mittelständischen Unternehmen (berufsbegleitend), Bachelor of Arts', ', Master of Business Administration', ', Bachelor of Science, Master of Science', ', Master of Education', ', Master of Science', ', Bachelor of Arts', ', Bachelor of Science, Master of Science', ', Master of Education', ', Bachelor of Laws', ', Master of Education', ', Master of Arts', ', Bachelor of Science', ', Master of Education', 'Anglistik, Master of Engineering', 'Betriebswirtschaftslehre für Leistungssportlerinnen und Leistungssportler (berufsbegleitend), Bachelor of Engineering, Master of Science', 'Betriebswirtschaftslehre mit juristischem Schwerpunkt, Bachelor of Engineering', 'Bildungsmanagement und Wissenschaftsmanagement (berufsbegleitend), Master of Education', 'Biologie, Master of Arts', 'Biologie (Lehramt), Master of Arts', 'Biology, Master of Arts', 'Business Adminstration in mittelständischen Unternehmen (berufsbegleitend), Master of Arts', 'Chemie, Master of Science', 'Chemie (Lehramt), Master of Education', 'Comparative and European Law, Bachelor of Arts', 'Deutsch (Lehramt), Bachelor of Arts', 'Deutsch als Fremdsprache, Master of Education', 'Elementarmathematik, Bachelor of Arts', 'Elementarmathematik (Lehramt), Bachelor of Arts', 'Engineering of Socio-Technical Systems, Master of Education', 'Engineering Physics, Bachelor of Arts, Master of Arts', 'Engineering Physics (dual), Bachelor of Arts', 'Englisch (Lehramt), Master of Education', 'English Studies, Master of Science', 'Erziehungs- und Bildungswissenschaften, Staatsexamen', 'Europäische Geschichte, Bachelor of Science, Master of Science', 'European Master in Migration and Intercultural Relations, Master of Education', 'European Master in Renewable Energy, Master of Laws', 'Evangelische Religion (Lehramt), Master of Arts', 'Evangelische Theologie und Religionspädagogik, Master of Arts', 'Französisch, Bachelor of Arts', 'Französisch (Lehramt), Master of Arts', 'Gender Studies, Master of Education', 'Geographie, Bachelor of Arts', 'Geographie (Lehramt), Master of Arts', 'Germanistik, Master of Science', 'Geschichte, Master of Arts', 'Geschichte (Lehramt), Master of Science', 'Hörtechnik und Audiologie, Master of Science', 'Humanmedizin, Bachelor of Arts', 'Informatik, Bachelor of Science, Master of Science', 'Informatik (Lehramt), Master of Education', 'Informationsrecht (berufsbegleitend), Master of Science', 'Innovationsmanagement und Entrepreneurship (berufsbegleitend), Master of Science', 'Integrated Media, Master of Arts', 'Interdisziplinäre Sachbildung, Bachelor of Arts', 'Kulturanalysen, Master of Education', 'Kunst (Lehramt), Master of Arts', 'Kunst und Medien, Master of Science', 'Kunst- und Medienwissenschaft, Master of Science', 'Landschaftsökologie, Bachelor of Arts, Bachelor of Science, Master of Arts', 'Management Consulting, Bachelor of Arts', 'Marine Sensorik, Master of Arts', 'Marine Umweltwissenschaften, Bachelor of Arts', 'Materielle Kultur: Textil, Master of Arts', 'Mathematik, Master of Education', 'Mathematik (Lehramt), Bachelor of Arts', 'Microbiology / Mikrobiologie, Bachelor of Science, Master of Science', 'Molecular Biomedicine, Master of Education', 'Museum und Ausstellung, Bachelor of Science, Master of Science', 'Musik, Master of Education', 'Musik (Lehramt), Bachelor of Arts', 'Musikwissenschaften, Master of Science', 'Neuro-cognitive Psychology, Master of Arts', 'Neuroscience, Master of Science', 'Niederlandistik, Master of Education', 'Ökonomische Bildung, Master of Education', 'Ökumene und Religionen, Master of Arts', 'Pädagogik, Bachelor of Arts', 'Philosophie, Bachelor of Arts, Master of Education', 'Philosophie (Lehramt), Bachelor of Arts, Master of Arts', 'Philosophie / Werte und Normen, Master of Education', 'Physik, Master of Education', 'Physik (Lehramt), Master of Arts', 'Physik, Technik und Medizin, Bachelor of Science', 'Politik (Lehramt), Master of Arts', 'Politik-Wirtschaft, Master of Arts', 'Postgraduate Programme Renewable Energy, Bachelor of Science', 'Rehabilitationspädagogik, Master of Education', 'Risikomanagement für Finanzdienstleister (berufsbegleitend), Master of Education', 'Russisch (Lehramt), Master of Laws', 'Sachunterricht (Lehramt), Master of Science', 'Slavische Studien, Bachelor of Science', 'Slavistik, Master of Science', 'Sonderpädagogik, Master of Education', 'Sozialwissenschaften, Master of Education', 'Spanisch (Lehramt), Master of Arts', 'Sport (Lehramt), Bachelor of Science, Master of Science', 'Sport und Lebensstil, Bachelor of Arts, Master of Education']"
189,a-39,"Berufsakademie für Bankwirtschaft, Studienort Rastede",Rastede,26180,Niedersachsen,Oldenburger Straße 118,staatlich,NaN,NaN,53.23435410000, 8.20329150000,"0,0%","0,0%","0,0%","0,0%","0,0%","100,0%","0,0%","0,0%","0,0%","0,0%","['Banking and Finance, Bachelor of Arts']"
